"accession","analysis_status","analysis_summary.0.key","analysis_summary.0.value","analysis_summary.1.key","analysis_summary.1.value","analysis_summary.2.key","analysis_summary.2.value","analysis_summary.3.key","analysis_summary.3.value","analysis_summary.4.key","analysis_summary.4.value","analysis_summary.5.key","analysis_summary.5.value","analysis_summary.6.key","analysis_summary.6.value","analysis_summary.7.key","analysis_summary.7.value","analysis_summary.8.key","analysis_summary.8.value","analysis_summary.9.key","analysis_summary.9.value","assembly","complete_time","downloads","experiment_type","instrument_model","instrument_platform","is_private","last_update","mgx_accession","pipeline_version","run","sample","study","url"
"MGYA00216443","completed","Submitted nucleotide sequences","58830290","Nucleotide sequences after format-specific filtering","58765337","Nucleotide sequences after length filtering","55174149","Nucleotide sequences after undetermined bases filtering","55166860","Reads with predicted CDS","52547024","Reads with predicted RNA","208155","Reads with InterProScan match","22814787","Predicted CDS","53390484","Predicted CDS with InterProScan match","22855013","Total InterProScan matches","37850779","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713390?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426837?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216443?format=csv"
"MGYA00216444","completed","Submitted nucleotide sequences","56418214","Nucleotide sequences after format-specific filtering","56349453","Nucleotide sequences after length filtering","52600107","Nucleotide sequences after undetermined bases filtering","52594008","Reads with predicted CDS","50757292","Reads with predicted RNA","193932","Reads with InterProScan match","21896170","Predicted CDS","51465939","Predicted CDS with InterProScan match","21933446","Total InterProScan matches","36598420","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713337?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426784?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216444?format=csv"
"MGYA00216445","completed","Submitted nucleotide sequences","43202127","Nucleotide sequences after format-specific filtering","43162063","Nucleotide sequences after length filtering","40110051","Nucleotide sequences after undetermined bases filtering","40108489","Reads with predicted CDS","38116600","Reads with predicted RNA","231017","Reads with InterProScan match","16005678","Predicted CDS","38193754","Predicted CDS with InterProScan match","16007973","Total InterProScan matches","24971456","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726005?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426839?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216445?format=csv"
"MGYA00216446","completed","Submitted nucleotide sequences","67938082","Nucleotide sequences after format-specific filtering","67870834","Nucleotide sequences after length filtering","64046351","Nucleotide sequences after undetermined bases filtering","64043434","Reads with predicted CDS","61651396","Reads with predicted RNA","229865","Reads with InterProScan match","23888663","Predicted CDS","61850605","Predicted CDS with InterProScan match","23897470","Total InterProScan matches","37836323","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725950?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426784?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216446?format=csv"
"MGYA00216447","completed","Submitted nucleotide sequences","21612966","Nucleotide sequences after format-specific filtering","21594580","Nucleotide sequences after length filtering","20310202","Nucleotide sequences after undetermined bases filtering","20309318","Reads with predicted CDS","19437534","Reads with predicted RNA","79682","Reads with InterProScan match","7727898","Predicted CDS","19487771","Predicted CDS with InterProScan match","7729792","Total InterProScan matches","12107544","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725956?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426787?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216447?format=csv"
"MGYA00216448","completed","Submitted nucleotide sequences","8820745","Nucleotide sequences after format-specific filtering","8808735","Nucleotide sequences after length filtering","7619154","Nucleotide sequences after undetermined bases filtering","7619080","Reads with predicted CDS","7301060","Reads with predicted RNA","30517","Reads with InterProScan match","2936104","Predicted CDS","7318541","Predicted CDS with InterProScan match","2936758","Total InterProScan matches","4565319","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725963?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426790?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216448?format=csv"
"MGYA00216449","completed","Submitted nucleotide sequences","38819528","Nucleotide sequences after format-specific filtering","38769932","Nucleotide sequences after length filtering","35939004","Nucleotide sequences after undetermined bases filtering","35935341","Reads with predicted CDS","34328994","Reads with predicted RNA","182919","Reads with InterProScan match","16807977","Predicted CDS","34742368","Predicted CDS with InterProScan match","16828093","Total InterProScan matches","27680163","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713357?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426804?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216449?format=csv"
"MGYA00216450","completed","Submitted nucleotide sequences","98778332","Nucleotide sequences after format-specific filtering","98661392","Nucleotide sequences after length filtering","92191312","Nucleotide sequences after undetermined bases filtering","92180878","Reads with predicted CDS","87354051","Reads with predicted RNA","526682","Reads with InterProScan match","43414465","Predicted CDS","88652800","Predicted CDS with InterProScan match","43468107","Total InterProScan matches","72752348","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713382?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426829?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216450?format=csv"
"MGYA00216451","completed","Submitted nucleotide sequences","2454318","Nucleotide sequences after format-specific filtering","2449207","Nucleotide sequences after length filtering","2127689","Nucleotide sequences after undetermined bases filtering","2127644","Reads with predicted CDS","2021995","Reads with predicted RNA","9511","Reads with InterProScan match","699861","Predicted CDS","2028255","Predicted CDS with InterProScan match","700075","Total InterProScan matches","1088407","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725952?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426785?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216451?format=csv"
"MGYA00216452","completed","Submitted nucleotide sequences","1801114","Nucleotide sequences after format-specific filtering","1797521","Nucleotide sequences after length filtering","1557816","Nucleotide sequences after undetermined bases filtering","1557775","Reads with predicted CDS","1491023","Reads with predicted RNA","8432","Reads with InterProScan match","628682","Predicted CDS","1496619","Predicted CDS with InterProScan match","628987","Total InterProScan matches","992726","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725987?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426820?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216452?format=csv"
