#SampleID	SRR5947807	SRR5947808	SRR5947809	SRR5947810	SRR5947811	SRR5947812	SRR5947813	SRR5947814	SRR5947815	SRR5947816	SRR5947817	SRR5947818	SRR5947819	SRR5947820	SRR5947821	SRR5947822	SRR5947823	SRR5947824	SRR5947825	SRR5947826	SRR5947827	SRR5947828	SRR5947829	SRR5947830	SRR5947831	SRR5947832	SRR5947833	SRR5947834	SRR5947835	SRR5947836	SRR5947837	SRR5947838	SRR5947839	SRR5947840	SRR5947841	SRR5947842	SRR5947843	SRR5947844	SRR5947845	SRR5947846	SRR5947847	SRR5947848	SRR5947849	SRR5947850	SRR5947851	SRR5947852	SRR5947853	SRR5947854	SRR5947855	SRR5947856	SRR5947857	SRR5947858	SRR5947859	SRR5947860	SRR5947861	SRR5947862	SRR5947863	SRR5947864	SRR5947865	SRR5947866	SRR5947867	SRR5947868	SRR5947869	SRR5947870	SRR5947871	SRR5947872	SRR5947873	SRR5947874	SRR5947875	SRR5947876	SRR5947877	SRR5947878	SRR5947879	SRR5947880	SRR5947881	SRR5947882	SRR5947883	SRR5947884	SRR5947895	SRR5947896	SRR5947897	SRR5947898	SRR5947899	SRR5947900	SRR5947901	SRR5947902	SRR5947903	SRR5947904	SRR5947905	SRR5947906	SRR5947907	SRR5947908	SRR5947909	SRR5947910	SRR5947911	SRR5947912	SRR5947913	SRR5947914	SRR5947915	SRR5947916	SRR5947918	SRR5947919	SRR5947920	SRR5947921	SRR5947922	SRR5947923	SRR5947924	SRR5947925	SRR5947927	SRR5947928	SRR5947929	SRR5947931	SRR5947932	SRR5947933	SRR5947934	SRR5947935	SRR5947936	SRR5947937	SRR5947938	SRR5947939	SRR5947940	SRR5947941	SRR5947942	SRR5947943	SRR5947944	SRR5947945	SRR5947946	SRR5947947	SRR5947949	SRR5947950	SRR5947952	SRR5947953	SRR5947955	SRR5947959	SRR5947962	SRR5947963	SRR5947967	SRR5947968	SRR5947970	SRR5947972	SRR5983264	SRR5983265	SRR5983266	SRR5983267	SRR5983268	SRR5983269	SRR5983270	SRR5983271	SRR5983272	SRR5983273	SRR5983274	SRR5983275	SRR5983276	SRR5983277	SRR5983278	SRR5983279	SRR5983280	SRR5983281	SRR5983282	SRR5983283	SRR5983284	SRR5983285	SRR5983286	SRR5983287	SRR5983288	SRR5983289	SRR5983290	SRR5983291	SRR5983292	SRR5983293	SRR5983294	SRR5983295	SRR5983296	SRR5983297	SRR5983298	SRR5983299	SRR5983300	SRR5983301	SRR5983302	SRR5983303	SRR5983304	SRR5983305	SRR5983306	SRR5983307	SRR5983308	SRR5983309	SRR5983310	SRR5983311	SRR5983312	SRR5983313	SRR5983314	SRR5983315	SRR5983316	SRR5983317	SRR5983318	SRR5983319	SRR5983320	SRR5983321	SRR5983322	SRR5983323	SRR5983324	SRR5983325	SRR5983326	SRR5983327	SRR5983328	SRR5983329	SRR5983330	SRR5983331	SRR5983332	SRR5983333	SRR5983334	SRR5983335	SRR5983336	SRR5983337	SRR5983338	SRR5983339	SRR5983340	SRR5983341	SRR5983342	SRR5983343	SRR5983344	SRR5983345	SRR5983346	SRR5983347	SRR5983348	SRR5983349	SRR5983350	SRR5983351	SRR5983352	SRR5983353	SRR5983354	SRR5983355	SRR5983356	SRR5983357	SRR5983358	SRR5983359	SRR5983360	SRR5983361	SRR5983362	SRR5983363	SRR5983364	SRR5983365	SRR5983366	SRR5983367	SRR5983368	SRR5983369	SRR5983370	SRR5983371	SRR5983372	SRR5983373	SRR5983374	SRR5983375	SRR5983376	SRR5983377	SRR5983378	SRR5983379	SRR5983380	SRR5983381	SRR5983382	SRR5983383	SRR5983384	SRR5983385	SRR5983386	SRR5983387	SRR5983388	SRR5983389	SRR5983390	SRR5983391	SRR5983392	SRR5983393	SRR5983394	SRR5983395	SRR5983396	SRR5983397	SRR5983398	SRR5983399	SRR5983400	SRR5983401	SRR5983402	SRR5983403	SRR5983404	SRR5983405	SRR5983406	SRR5983407	SRR5983408	SRR5983409	SRR5983410	SRR5983411	SRR5983412	SRR5983413	SRR5983414	SRR5983415	SRR5983416	SRR5983417	SRR5983418	SRR5983419	SRR5983420	SRR5983421	SRR5983422	SRR5983423	SRR5983424	SRR5983425	SRR5983426	SRR5983427	SRR5983428	SRR5983429	SRR5983430	SRR5983431	SRR5983432	SRR5983433	SRR5983434	SRR5983435	SRR5983436	SRR5983437	SRR5983438	SRR5983439	SRR5983440	SRR5983441	SRR5983442	SRR5983443	SRR5983444	SRR5983445	SRR5983446	SRR5983447	SRR5983448	SRR5983449	SRR5983450	SRR5983451	SRR5983452	SRR5983453	SRR5983454	SRR5983455	SRR5983456	SRR5983457	SRR5983458	SRR5983459	SRR5983460	SRR5983461	SRR5983462	SRR5983463	SRR5983464	SRR5983465	SRR5983466	SRR5983467	SRR5983468	SRR5983469	SRR5983470	SRR5983471	SRR5983472	SRR5983473	SRR5983474	SRR5983475	SRR5983476	SRR5983477	SRR5983478	SRR5983479	SRR5983480	SRR5983481	SRR5983482	SRR5983483	SRR5983484	SRR5983485
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_sp._D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	2620.0	5927.0	2120.0	2523.0	706.0	1376.0	4031.0	1297.0	1448.0	1899.0	5289.0	85.0	29.0	4323.0	2164.0	3515.0	4366.0	2412.0	22.0	3201.0	5246.0	852.0	2032.0	1457.0	3175.0	2902.0	543.0	788.0	3898.0	574.0	218.0	1183.0	258.0	4269.0	806.0	1449.0	741.0	843.0	780.0	1623.0	1143.0	3787.0	2589.0	1972.0	4007.0	5686.0	2021.0	5503.0	1152.0	376.0	3021.0	2291.0	3747.0	2937.0	414.0	1007.0	1259.0	2222.0	5341.0	5505.0	2645.0	4292.0	3045.0	3369.0	5397.0	1959.0	2601.0	841.0	4492.0	3802.0	1562.0	2634.0	1773.0	5247.0	894.0	3981.0	4669.0	4568.0	4.0	12.0	5.0	45.0	8.0	12.0	21.0	0	0	4.0	9.0	15.0	0	0	67.0	1.0	7.0	10.0	6.0	14.0	8.0	14.0	4.0	33.0	18.0	43.0	2.0	7.0	8.0	2.0	23.0	1.0	0	0	1.0	35.0	11.0	21.0	4.0	97.0	3.0	0	4.0	17.0	0	11.0	11.0	0	8.0	0	4.0	26.0	0	7.0	14.0	2.0	0	6.0	6.0	2.0	0	37.0	2365.0	3563.0	2655.0	5559.0	1420.0	3121.0	1253.0	2374.0	2030.0	593.0	393.0	202.0	586.0	1625.0	2423.0	941.0	758.0	171.0	876.0	417.0	1332.0	868.0	2494.0	1173.0	1229.0	236.0	3053.0	413.0	64.0	2098.0	1853.0	1471.0	5546.0	2631.0	2683.0	1091.0	1650.0	3328.0	1195.0	3986.0	1070.0	2928.0	4297.0	1162.0	5695.0	5233.0	3389.0	2502.0	2648.0	7670.0	405.0	2877.0	347.0	1494.0	2478.0	2682.0	283.0	1283.0	546.0	768.0	2069.0	2861.0	4844.0	9814.0	2666.0	1618.0	3544.0	1067.0	3095.0	1427.0	3912.0	1067.0	704.0	3832.0	2801.0	475.0	2249.0	292.0	448.0	3901.0	5501.0	1477.0	3475.0	4245.0	754.0	1483.0	304.0	432.0	1267.0	137.0	1252.0	1944.0	704.0	1195.0	4575.0	2779.0	1924.0	402.0	3282.0	1636.0	225.0	858.0	142.0	5469.0	743.0	2999.0	1143.0	2690.0	1854.0	1503.0	783.0	2614.0	730.0	533.0	3133.0	1271.0	1110.0	2937.0	179.0	364.0	2119.0	170.0	1564.0	4085.0	3364.0	2174.0	4791.0	3920.0	5448.0	3219.0	3161.0	4136.0	791.0	839.0	2037.0	858.0	3827.0	1649.0	1579.0	933.0	1190.0	1296.0	272.0	707.0	922.0	4410.0	2703.0	3558.0	2733.0	2945.0	5141.0	5428.0	2593.0	215.0	994.0	1740.0	380.0	1490.0	1543.0	15.0	613.0	1439.0	138.0	1362.0	2691.0	2544.0	3723.0	370.0	2041.0	1733.0	1327.0	1178.0	994.0	1783.0	2277.0	2464.0	1421.0	3964.0	115.0	471.0	2193.0	728.0	2580.0	1910.0	1738.0	3001.0	3159.0	2362.0	6538.0	896.0	1802.0	2286.0	1457.0	1632.0	1502.0	1803.0	3050.0	1861.0	2111.0	4229.0	922.0	59.0	1710.0	1108.0	3071.0	3292.0	474.0	4321.0	4759.0	1435.0	1608.0	2166.0	1315.0	3138.0	822.0	1418.0	3090.0	2817.0	1561.0	940.0	140.0	2070.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_'New_Zealand_B'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_A7(2010)	5.0	3.0	0	1.0	1.0	0	6.0	3.0	0	3.0	6.0	0	0	0	3.0	2.0	1.0	0	0	5.0	1.0	0	8.0	0	4.0	4.0	0	1.0	4.0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	3.0	0	12.0	0	1.0	0	0	1.0	0	3.0	16.0	0	0	0	7.0	10.0	3.0	1.0	18.0	0	5.0	11.0	2.0	4.0	1.0	0	3.0	0	2.0	3.0	0	0	0	6.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	8.0	0	0	3.0	1.0	3.0	0	1.0	0	0	0	0	0	0	0	0	0	2.0	1.0	2.0	0	1.0	0	3.0	0	0	0	2.0	0	0	4.0	0	0	2.0	1.0	0	9.0	2.0	0	16.0	0	0	33.0	0	0	9.0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	2.0	1.0	0	5.0	1.0	0	0	0	0	14.0	7.0	0	8.0	0	2.0	0	0	0	2.0	0	2.0	11.0	2.0	1.0	1.0	2.0	0	0	1.0	0	0	0	0	0	0	0	2.0	9.0	0	1.0	0	2.0	0	1.0	0	0	0	0	0	0	2.0	0	2.0	0	2.0	0	8.0	1.0	3.0	3.0	1.0	14.0	0	2.0	0	0	7.0	1.0	0	0	2.0	2.0	0	0	2.0	8.0	1.0	0	7.0	5.0	2.0	12.0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	1.0	0	1.0	3.0	4.0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	3.0	1.0	0	0	0	1.0	0	0	0	2.0	2.0	0	0	0	0	0	0	6.0	0	0	0	5.0	16.0	0	0	0	0	0	0	1.0	0	2.0	0	0	0	3.0	0	0	1.0	2.0
