#SampleID	SRR6704240	SRR6704250	SRR6704260	SRR6704270	SRR6704280	SRR6704290	SRR6704300	SRR6704310	SRR6704320	SRR6704330	SRR6704340	SRR6704350	SRR6704360	SRR6704370	SRR6704380	SRR6704390	SRR6704400	SRR6704410	SRR6704241	SRR6704251	SRR6704261	SRR6704271	SRR6704281	SRR6704291	SRR6704301	SRR6704311	SRR6704321	SRR6704331	SRR6704341	SRR6704351	SRR6704361	SRR6704371	SRR6704381	SRR6704391	SRR6704401	SRR6704411	SRR6704242	SRR6704252	SRR6704262	SRR6704272	SRR6704282	SRR6704292	SRR6704302	SRR6704312	SRR6704322	SRR6704332	SRR6704342	SRR6704352	SRR6704362	SRR6704372	SRR6704382	SRR6704392	SRR6704402	SRR6704412	SRR6704243	SRR6704253	SRR6704263	SRR6704273	SRR6704283	SRR6704293	SRR6704303	SRR6704313	SRR6704323	SRR6704333	SRR6704343	SRR6704353	SRR6704363	SRR6704373	SRR6704383	SRR6704393	SRR6704403	SRR6704413	SRR6704244	SRR6704254	SRR6704264	SRR6704274	SRR6704284	SRR6704294	SRR6704304	SRR6704314	SRR6704324	SRR6704334	SRR6704344	SRR6704354	SRR6704364	SRR6704374	SRR6704384	SRR6704394	SRR6704404	SRR6704245	SRR6704255	SRR6704265	SRR6704275	SRR6704285	SRR6704295	SRR6704305	SRR6704315	SRR6704325	SRR6704335	SRR6704345	SRR6704355	SRR6704365	SRR6704375	SRR6704385	SRR6704395	SRR6704405	SRR6704246	SRR6704256	SRR6704266	SRR6704276	SRR6704286	SRR6704296	SRR6704306	SRR6704316	SRR6704326	SRR6704336	SRR6704346	SRR6704356	SRR6704366	SRR6704376	SRR6704386	SRR6704396	SRR6704406	SRR6704247	SRR6704257	SRR6704267	SRR6704277	SRR6704287	SRR6704297	SRR6704307	SRR6704317	SRR6704327	SRR6704337	SRR6704347	SRR6704357	SRR6704367	SRR6704377	SRR6704387	SRR6704397	SRR6704407	SRR6704238	SRR6704248	SRR6704258	SRR6704268	SRR6704278	SRR6704288	SRR6704298	SRR6704308	SRR6704318	SRR6704328	SRR6704338	SRR6704348	SRR6704358	SRR6704368	SRR6704378	SRR6704388	SRR6704398	SRR6704408	SRR6704239	SRR6704249	SRR6704259	SRR6704269	SRR6704279	SRR6704289	SRR6704299	SRR6704309	SRR6704319	SRR6704329	SRR6704339	SRR6704349	SRR6704359	SRR6704369	SRR6704379	SRR6704389	SRR6704399	SRR6704409
sk__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Methanofastidiosa;o__;f__;g__Candidatus_Methanofastidiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	286	0	0	0	0	0	30	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	14	0	77	0	0	0	0	46	0	0	0	405	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_woesei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	3	7	549	6	1	2	32	2	0	0	1	9	1	12	336	4	0	0	0	53	744	38	12	2	42	35	17	0	6	355	1	1	2	3	22	1	0	22	721	1	2	72	30	29	0	1	1	2	40	1	1	13	12	7	10	1	0	1	4	0	0	9	8	0	0	0	0	0	1	18	10	0	1	2	984	0	25	0	201	18	6	8	0	1	0	13	2	8	3	6	0	200	2	82	2	242	21	0	86	2	323	0	0	0	0	0	7	0	0	3	28	0	1	1	0	0	2	14	0	0	0	2	8	2	1	16	3	14	1	3	5	0	11	0	5	1	16	0	5	7	381	82	3	1	6	9	4	0	15	54	14	6	5	0	15	35	15	29	9	5	0	6	15	4	1	23	2	0	0	4	2	2	28	2	8	6
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
