,Azonexaceae,Opisthonectidae,Burkholderiaceae,Bdellovibrionaceae,Clostridiales_Family_XIII._Incertae_Sedis,Zoogloeaceae,Clostridiaceae,Microscillaceae,Bodonidae,Gemmatimonadaceae,Spirochaetaceae,Sporomusaceae,Pseudomonadaceae,Lachnospiraceae,Rikenellaceae,geographic_location,Ectothiorhodospiraceae,Spongiibacteraceae,Eubacteriaceae,Bacillaceae,Tokophryidae,Methanoregulaceae,Deferribacteraceae,Desulfobacteraceae,Caryophyllaceae,sample_id,Rhodobiaceae,Nostocaceae,Alcaligenaceae,Bacteroidaceae,Chromobacteriaceae,Paludibacteraceae,Gregarinidae,Hyphomonadaceae,Debaryomycetaceae,Metopidae,Scenedesmaceae,Victivallaceae,Chitinophagaceae,Methanobacteriaceae,Clostridiales_Family_XII._Incertae_Sedis,Christensenellaceae,Methanomassiliicoccaceae,Desulfuromonadaceae,Holophagaceae,Marinilabiliaceae,Rhodobacteraceae,Lentimicrobiaceae,Selenomonadaceae,Phyllobacteriaceae,Syntrophobacteraceae,Peptococcaceae,Peptostreptococcaceae,Discophryidae,Planococcaceae,Syntrophorhabdaceae,Rhogostomidae,Dipodascaceae,Leptotrichiaceae,Gallionellaceae,Xanthomonadaceae,collection_date,Dysgonamonadaceae,Sutterellaceae,Methanospirillaceae,Enterococcaceae,Oxalobacteraceae,Nitrosomonadaceae,study,Balneolaceae,Campylobacteraceae,Bacteriovoracaceae,Lecudinidae,Caenomorphidae,Methylocystaceae,Shewanellaceae,Saprospiraceae,Ardenticatenaceae,Cyprididae,Ktedonobacteraceae,Actinomycetaceae,Acholeplasmataceae,Histiostomatidae,Paraphysomonadaceae,Caldilineaceae,Monhysteridae,Hydrogenophilaceae,Saccharomycetaceae,Phycisphaeraceae,Porphyromonadaceae,Coriobacteriaceae,Fabaceae,Desulfomicrobiaceae,Flavobacteriaceae,Anaerolineaceae,Pythiaceae,Acidithiobacillaceae,Yersiniaceae,Oligoflexaceae,Atopobiaceae,Erysipelotrichaceae,Prolixibacteraceae,Propionibacteriaceae,Sterolibacteriaceae,Moraxellaceae,Succinivibrionaceae,Carnobacteriaceae,Chilodonellidae,Synechococcaceae,Streptomycetaceae,Beutenbergiaceae,Aeromonadaceae,Barnesiellaceae,Helicobacteraceae,Saccharospirillaceae,Halomonadaceae,Rhizobiaceae,Methylophilaceae,Halanaerobiaceae,Prorodontidae,Microbacteriaceae,Leptospiraceae,Rubritaleaceae,Lactobacillaceae,Termopsidae,Muribaculaceae,Arcellidae,Nocardiaceae,Veillonellaceae,Anaeroplasmataceae,Acidaminococcaceae,Hexamitidae,Pasteurellaceae,Solanaceae,Syntrophaceae,Erwiniaceae,Hyphomicrobiaceae,Diplogasteridae,Caulobacteraceae,Cytophagaceae,Streptococcaceae,Bifidobacteriaceae,Prevotellaceae,Leuconostocaceae,Fibrobacteraceae,Candidatus_Brocadiaceae,Eggerthellaceae,Cryomorphaceae,Opitutaceae,Ascoideaceae,Neodiplogasteridae,Spiroplasmataceae,Oligosphaeraceae,Nocardioidaceae,sample_name,Geobacteraceae,Verrucomicrobiaceae,Methylococcaceae,Chthoniobacteraceae,Micrococcaceae,Acaridae,Thiotrichaceae,Chromatiaceae,Fusobacteriaceae,Comamonadaceae,Rhabditidae,Rhodanobacteraceae,Neisseriaceae,Polyangiaceae,Sphingobacteriaceae,Acetobacteraceae,Rhodospirillaceae,Parameciidae,Coxiellaceae,Synergistaceae,Enterobacteriaceae,Rhodocyclaceae,Tannerellaceae,Caldisericaceae,Intrasporangiaceae,Bradyrhizobiaceae,Nannocystaceae,analysis_id,Xanthobacteraceae,Desulfobulbaceae,Mycobacteriaceae,Oscillochloridaceae,Parachlamydiaceae,Sphingomonadaceae,Cryptosporangiaceae,Crocinitomicaceae,Erythrobacteraceae,Oscillospiraceae,Ruminococcaceae,Desulfovibrionaceae,Kofleriaceae,Microthrixaceae,Psychodidae,Akkermansiaceae,Elusimicrobiaceae
0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,35.0,44.0,2.0,Canada,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,ERS1426787,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,32.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,2.0,3.0,283.0,0.0,25.0,2016-02-01,0.0,1.0,0.0,1.0,0.0,1.0,study 1,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,77.0,28.0,0.0,0.0,0.0,0.0,2.0,13.0,4.0,13.0,0.0,142.0,0.0,15.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,33.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,2.0,6.0,0.0,22.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wastewater metagenome,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,64.0,6.0,3.0,82.0,0.0,6.0,6.0,0.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,MGYA00216461,0.0,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,40.0,4.0,0.0,0.0,0.0,14.0,0.0
1,3.0,0.0,23.0,1.0,1.0,18.0,0.0,0.0,0.0,1.0,1.0,4.0,2099.0,37.0,17.0,Georgia,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,ERS1426804,0.0,0.0,2.0,30.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,23.0,12.0,1.0,10.0,0.0,0.0,5.0,2.0,24.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,49.0,0.0,78.0,2016-01-25,0.0,2.0,0.0,0.0,209.0,15.0,study 1,0.0,18.0,3.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6101.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,3.0,0.0,12196.0,14.0,15.0,0.0,0.0,2.0,0.0,122.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,62.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,23.0,8.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wastewater metagenome,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,455.0,26.0,1.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,MGYA00216522,0.0,6.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,69.0,2.0,2.0,0.0,0.0,4.0,0.0
2,5.0,0.0,38.0,13.0,10.0,20.0,43.0,5.0,0.0,2.0,6.0,12.0,325.0,529.0,25.0,Canada,0.0,0.0,15.0,9.0,0.0,0.0,0.0,7.0,0.0,ERS1426787,1.0,0.0,7.0,52.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,17.0,1.0,323.0,2.0,0.0,1.0,4.0,149.0,40.0,15.0,3.0,2.0,8.0,98.0,0.0,11.0,5.0,2.0,26.0,2705.0,5.0,167.0,2016-02-01,6.0,14.0,8.0,30.0,6.0,0.0,study 1,0.0,127.0,6.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,4.0,0.0,18.0,16.0,1.0,4.0,40.0,0.0,6.0,742.0,279.0,0.0,0.0,0.0,0.0,17.0,97.0,9.0,48.0,3.0,1561.0,6.0,238.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,1.0,14.0,20.0,0.0,0.0,50.0,3.0,0.0,19.0,0.0,3.0,0.0,2.0,659.0,0.0,55.0,0.0,8.0,0.0,66.0,5.0,6.0,2.0,77.0,11.0,270.0,100.0,26.0,1.0,2.0,1.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,wastewater metagenome,2.0,36.0,0.0,7.0,3.0,0.0,12.0,0.0,15.0,678.0,95.0,28.0,1421.0,0.0,12.0,19.0,5.0,0.0,6.0,699.0,81.0,21.0,2.0,0.0,9.0,0.0,0.0,MGYA00216447,3.0,38.0,12.0,0.0,11.0,45.0,0.0,0.0,7.0,4.0,899.0,89.0,0.0,3.0,0.0,138.0,0.0
3,1.0,0.0,24.0,5.0,5.0,23.0,39.0,0.0,0.0,1.0,4.0,30.0,309.0,503.0,66.0,Moldova,0.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,ERS1426821,0.0,0.0,3.0,93.0,5.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,42.0,0.0,97.0,0.0,0.0,0.0,0.0,84.0,22.0,139.0,0.0,1.0,9.0,120.0,0.0,5.0,0.0,1.0,7.0,2033.0,7.0,163.0,2016-02-04,4.0,18.0,0.0,64.0,7.0,0.0,study 1,0.0,874.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,6.0,61.0,0.0,11.0,48.0,0.0,5.0,888.0,6.0,0.0,5.0,0.0,0.0,6.0,131.0,3.0,24.0,3.0,14921.0,72.0,127.0,0.0,0.0,0.0,0.0,26.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,29.0,0.0,2.0,236.0,0.0,35.0,0.0,1.0,637.0,2.0,115.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,307.0,101.0,272.0,3.0,4.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,wastewater metagenome,1.0,3.0,0.0,0.0,8.0,0.0,3.0,0.0,10.0,716.0,16.0,7.0,709.0,0.0,4.0,4.0,4.0,0.0,0.0,19.0,58.0,30.0,12.0,2.0,0.0,0.0,0.0,MGYA00216652,1.0,18.0,0.0,0.0,1.0,21.0,2.0,0.0,0.0,5.0,1079.0,26.0,0.0,0.0,0.0,40.0,0.0
4,0.0,0.0,18.0,2.0,7.0,5.0,51.0,0.0,0.0,2.0,9.0,26.0,30.0,327.0,26.0,Finland,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,ERS1426803,0.0,0.0,10.0,68.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,128.0,0.0,0.0,2.0,3.0,42.0,16.0,36.0,0.0,3.0,10.0,45.0,0.0,3.0,0.0,0.0,3.0,930.0,4.0,63.0,2016-01-26,11.0,6.0,0.0,23.0,2.0,1.0,study 1,0.0,206.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,33.0,0.0,2.0,581.0,5.0,0.0,0.0,0.0,0.0,1.0,119.0,1.0,22.0,3.0,307.0,2.0,85.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,14.0,0.0,9.0,0.0,1.0,277.0,0.0,34.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,20.0,4.0,538.0,83.0,30.0,2.0,1.0,0.0,17.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,wastewater metagenome,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,389.0,1.0,11.0,271.0,0.0,2.0,7.0,6.0,0.0,5.0,23.0,35.0,16.0,2.0,0.0,0.0,0.0,0.0,MGYA00216611,1.0,23.0,2.0,0.0,4.0,13.0,0.0,0.0,1.0,4.0,655.0,29.0,0.0,3.0,0.0,46.0,0.0
5,1.0,0.0,17.0,1.0,9.0,6.0,24.0,0.0,0.0,0.0,3.0,59.0,40.0,347.0,59.0,Latvia,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,ERS1426820,0.0,0.0,4.0,102.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,13.0,106.0,0.0,0.0,1.0,3.0,39.0,4.0,52.0,0.0,1.0,3.0,116.0,0.0,4.0,6.0,0.0,1.0,441.0,2.0,94.0,2016-02-01,5.0,25.0,3.0,8.0,2.0,2.0,study 1,0.0,374.0,7.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,38.0,0.0,3.0,376.0,17.0,0.0,0.0,0.0,0.0,3.0,101.0,1.0,16.0,0.0,503.0,35.0,71.0,0.0,0.0,0.0,0.0,36.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,44.0,0.0,33.0,0.0,0.0,257.0,0.0,133.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,16.0,2.0,159.0,36.0,169.0,4.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,wastewater metagenome,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,307.0,4.0,7.0,280.0,1.0,9.0,4.0,2.0,0.0,2.0,35.0,24.0,21.0,22.0,0.0,1.0,0.0,0.0,MGYA00216502,0.0,53.0,2.0,0.0,3.0,17.0,0.0,2.0,2.0,5.0,755.0,35.0,0.0,0.0,0.0,41.0,0.0
6,3.0,0.0,29.0,3.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,73.0,19.0,320.0,35.0,Botswana,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,ERS1426785,0.0,0.0,29.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,133.0,0.0,0.0,7.0,1.0,49.0,2.0,223.0,0.0,1.0,3.0,87.0,0.0,0.0,4.0,0.0,2.0,205.0,3.0,85.0,2016-01-25,0.0,9.0,0.0,11.0,3.0,3.0,study 1,0.0,32.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,1.0,47.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,2.0,3.0,72.0,8.0,16.0,1.0,316.0,8.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,31.0,0.0,2.0,0.0,0.0,341.0,0.0,215.0,0.0,351.0,0.0,4.0,0.0,6.0,4.0,22.0,2.0,119.0,115.0,55.0,7.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,wastewater metagenome,1.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,12.0,227.0,0.0,3.0,664.0,0.0,0.0,4.0,16.0,0.0,5.0,120.0,48.0,61.0,4.0,0.0,0.0,2.0,0.0,MGYA00216544,3.0,356.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,329.0,274.0,1.0,0.0,1.0,47.0,0.0
7,5.0,0.0,239.0,25.0,47.0,108.0,85.0,0.0,1.0,150.0,10.0,872.0,51.0,3938.0,65.0,Australia,0.0,0.0,282.0,105.0,0.0,0.0,0.0,0.0,0.0,ERS1426780,6.0,0.0,46.0,228.0,55.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,83.0,5.0,1077.0,2.0,0.0,16.0,13.0,204.0,61.0,310.0,4.0,9.0,17.0,759.0,1.0,9.0,11.0,3.0,35.0,7419.0,41.0,350.0,2016-02-08,43.0,41.0,0.0,61.0,13.0,23.0,study 1,0.0,111.0,1.0,0.0,0.0,26.0,0.0,25.0,0.0,0.0,0.0,289.0,1.0,0.0,0.0,10.0,0.0,122.0,13.0,0.0,17.0,402.0,0.0,2.0,1603.0,89.0,0.0,0.0,0.0,0.0,123.0,781.0,10.0,233.0,22.0,3347.0,17.0,53.0,0.0,0.0,2.0,1.0,33.0,3.0,1.0,2.0,65.0,42.0,2.0,1.0,0.0,143.0,2.0,0.0,433.0,0.0,24.0,3.0,2.0,9683.0,1.0,540.0,0.0,335.0,0.0,7.0,1.0,22.0,11.0,103.0,6.0,11073.0,1056.0,148.0,4.0,8.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,wastewater metagenome,11.0,23.0,1.0,4.0,13.0,0.0,21.0,7.0,83.0,3700.0,93.0,28.0,6966.0,0.0,12.0,42.0,41.0,0.0,6.0,347.0,520.0,355.0,4.0,0.0,7.0,17.0,0.0,MGYA00216492,23.0,242.0,28.0,0.0,12.0,103.0,7.0,3.0,1.0,20.0,4642.0,892.0,4.0,4.0,0.0,296.0,1.0
8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,Croatia,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ERS1426807,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,9.0,2016-02-08,0.0,0.0,0.0,1.0,0.0,0.0,study 1,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,82.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,wastewater metagenome,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,39.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGYA00216509,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0
9,30.0,0.0,89.0,5.0,14.0,55.0,21.0,0.0,0.0,0.0,2.0,118.0,153.0,455.0,157.0,Bulgaria,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,ERS1426782,2.0,1.0,3.0,388.0,25.0,101.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,11.0,36.0,70.0,0.0,0.0,7.0,9.0,73.0,19.0,79.0,1.0,7.0,4.0,68.0,0.0,1.0,2.0,10.0,2.0,619.0,6.0,145.0,2016-02-04,6.0,77.0,0.0,7.0,11.0,12.0,study 1,0.0,3469.0,19.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,18.0,0.0,8.0,4693.0,16.0,0.0,0.0,1.0,0.0,5.0,63.0,7.0,20.0,2.0,8024.0,79.0,33.0,0.0,0.0,2.0,2.0,259.0,20.0,19.0,0.0,8.0,4.0,7.0,0.0,0.0,23.0,3.0,0.0,10.0,0.0,59.0,0.0,1.0,430.0,2.0,173.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,54.0,24.0,467.0,32.0,364.0,1.0,6.0,0.0,18.0,2.0,9.0,13.0,0.0,0.0,2.0,6.0,wastewater metagenome,0.0,8.0,1.0,0.0,20.0,0.0,1.0,1.0,25.0,2459.0,4.0,14.0,545.0,0.0,20.0,19.0,9.0,0.0,2.0,23.0,71.0,77.0,85.0,1.0,0.0,1.0,1.0,MGYA00216467,0.0,19.0,0.0,0.0,0.0,52.0,1.0,3.0,3.0,5.0,969.0,46.0,2.0,0.0,0.0,46.0,0.0
