run ID,associated phenotype,pipeline,Archaea Euryarchaeota,Bacteria Acidobacteria,Bacteria Actinobacteria,Bacteria Bacteroidetes,Bacteria Chloroflexi,Bacteria Cyanobacteria,Bacteria Elusimicrobia,Bacteria Firmicutes,Bacteria Fusobacteria,Bacteria Lentisphaerae,Bacteria Nitrospirae,Bacteria Proteobacteria,Bacteria Spirochaetes,Bacteria Synergistetes,Bacteria Tenericutes,Bacteria Verrucomicrobia
SRR5947807,D003424,4.1,0.0,1.0,62.0,12347.0,0.0,324.0,0.0,5579.0,1.0,6.0,3.0,555.0,0.0,0.0,1.0,120.0
SRR5947808,D003093,4.1,0.0,0.0,116.0,12205.0,0.0,3.0,0.0,4964.0,3.0,1.0,0.0,24.0,2.0,0.0,1.0,7.0
SRR5947809,D003424,4.1,0.0,2.0,69.0,665.0,2.0,0.0,1.0,17390.0,3.0,0.0,0.0,355.0,1.0,199.0,3.0,54.0
SRR5947810,D006262,4.1,0.0,0.0,302.0,5134.0,0.0,3.0,0.0,12160.0,5.0,0.0,0.0,643.0,0.0,0.0,2.0,201.0
SRR5947811,D003424,4.1,0.0,1.0,51.0,11632.0,4.0,0.0,0.0,2268.0,2.0,12.0,0.0,358.0,2.0,2.0,342.0,35.0
SRR5947812,D003424,4.1,0.0,1.0,68.0,1113.0,0.0,1.0,1.0,11460.0,37.0,0.0,0.0,97.0,0.0,535.0,3.0,785.0
SRR5947813,D003424,4.1,0.0,2.0,109.0,7559.0,2.0,19.0,0.0,6352.0,0.0,0.0,0.0,780.0,1.0,0.0,0.0,23.0
SRR5947814,D003424,4.1,0.0,0.0,89.0,2494.0,0.0,3.0,0.0,2608.0,2.0,0.0,0.0,106.0,1.0,0.0,1.0,2.0
SRR5947815,D003424,4.1,0.0,0.0,672.0,7046.0,0.0,8.0,0.0,9729.0,1.0,0.0,0.0,233.0,0.0,1.0,0.0,11.0
SRR5947816,D003424,4.1,0.0,0.0,80.0,5838.0,0.0,4.0,0.0,3499.0,0.0,0.0,0.0,625.0,1.0,0.0,0.0,14.0
SRR5947817,D003424,4.1,0.0,1.0,387.0,9500.0,2.0,7.0,0.0,9884.0,8.0,0.0,0.0,193.0,0.0,0.0,0.0,28.0
SRR5947818,D003424,4.1,0.0,0.0,3.0,247.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
SRR5947819,D003093,4.1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SRR5947820,D006262,4.1,0.0,1.0,448.0,11034.0,1.0,11.0,0.0,16638.0,3.0,0.0,0.0,332.0,2.0,2.0,0.0,38.0
SRR5947821,D003424,4.1,0.0,1.0,198.0,3857.0,2.0,99.0,0.0,12029.0,1.0,24.0,0.0,1324.0,0.0,0.0,3.0,138.0
SRR5947822,D006262,4.1,0.0,0.0,194.0,12973.0,2.0,1.0,0.0,5750.0,0.0,0.0,0.0,144.0,0.0,0.0,1.0,1148.0
SRR5947823,D003093,4.1,0.0,0.0,278.0,11067.0,0.0,10.0,2.0,13453.0,4.0,0.0,0.0,42.0,1.0,2.0,1.0,49.0
SRR5947824,D003093,4.1,0.0,0.0,56.0,3874.0,0.0,0.0,0.0,1765.0,3.0,0.0,0.0,31.0,1.0,1.0,1.0,2.0
SRR5947825,D003424,4.1,0.0,0.0,5.0,82.0,0.0,1.0,0.0,120.0,0.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0
SRR5947826,D003424,4.1,0.0,0.0,33.0,6085.0,3.0,336.0,0.0,2353.0,1.0,82.0,0.0,13.0,0.0,0.0,2.0,534.0
SRR5947827,D003424,4.1,0.0,0.0,296.0,8572.0,4.0,8.0,0.0,12141.0,3.0,0.0,1.0,479.0,0.0,63.0,1.0,15.0
SRR5947828,D006262,4.1,0.0,0.0,96.0,1092.0,1.0,2.0,0.0,2381.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,9.0
SRR5947829,D003424,4.1,0.0,1.0,53.0,8597.0,0.0,41.0,0.0,3702.0,0.0,11.0,0.0,289.0,0.0,0.0,0.0,95.0
SRR5947830,D003424,4.1,0.0,0.0,20.0,2692.0,0.0,0.0,0.0,1733.0,1.0,0.0,0.0,113.0,1.0,1.0,0.0,3.0
SRR5947831,D006262,4.1,0.0,2.0,161.0,4308.0,0.0,0.0,0.0,5234.0,3.0,0.0,0.0,782.0,0.0,1.0,0.0,30.0
SRR5947832,D003424,4.1,0.0,0.0,8.0,5076.0,0.0,5.0,0.0,1126.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,3.0
SRR5947833,D003424,4.1,0.0,0.0,41.0,1493.0,0.0,1.0,0.0,960.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,4.0
SRR5947834,D003093,4.1,0.0,0.0,46.0,2152.0,0.0,0.0,0.0,1881.0,1.0,0.0,0.0,123.0,0.0,0.0,0.0,160.0
SRR5947835,D003424,4.1,0.0,0.0,413.0,6874.0,1.0,12.0,0.0,13145.0,9.0,0.0,0.0,413.0,1.0,0.0,0.0,39.0
SRR5947836,D003424,4.1,0.0,0.0,69.0,16937.0,1.0,3.0,0.0,2563.0,1.0,1.0,0.0,469.0,1.0,0.0,447.0,17.0
SRR5947837,D003093,4.1,0.0,0.0,8.0,393.0,0.0,0.0,0.0,233.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
SRR5947838,D003424,4.1,0.0,0.0,107.0,4267.0,0.0,4.0,0.0,3747.0,5.0,0.0,0.0,106.0,0.0,1.0,0.0,53.0
SRR5947839,D003424,4.1,0.0,0.0,12.0,4707.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,3.0
SRR5947840,D003424,4.1,0.0,0.0,663.0,8524.0,6.0,19.0,0.0,15045.0,0.0,0.0,0.0,189.0,1.0,16.0,2.0,49.0
SRR5947841,D003424,4.1,7.0,1.0,45.0,19748.0,2.0,2.0,0.0,2682.0,1.0,16.0,0.0,540.0,2.0,0.0,1631.0,17.0
SRR5947842,D003424,4.1,0.0,0.0,235.0,4074.0,3.0,2.0,0.0,5383.0,0.0,0.0,0.0,1062.0,0.0,0.0,0.0,29.0
SRR5947843,D003093,4.1,0.0,0.0,47.0,694.0,0.0,6.0,0.0,1232.0,371.0,0.0,0.0,209.0,0.0,0.0,0.0,2.0
SRR5947844,D003424,4.1,0.0,0.0,43.0,1562.0,0.0,2.0,0.0,1217.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,6.0
SRR5947845,D006262,4.1,0.0,0.0,80.0,8489.0,0.0,1.0,0.0,2368.0,1.0,0.0,0.0,170.0,3.0,0.0,1.0,25.0
SRR5947846,D003093,4.1,0.0,0.0,389.0,4821.0,1.0,12.0,0.0,9485.0,3.0,0.0,0.0,645.0,0.0,0.0,2.0,19.0
SRR5947847,D003424,4.1,0.0,3.0,510.0,2771.0,7.0,17.0,0.0,12644.0,2.0,0.0,0.0,736.0,0.0,3.0,0.0,1216.0
SRR5947848,D003093,4.1,0.0,1.0,104.0,8000.0,1.0,1.0,0.0,4498.0,1.0,0.0,0.0,1324.0,1.0,0.0,1.0,27.0
SRR5947849,D003093,4.1,0.0,1.0,122.0,6043.0,0.0,1.0,0.0,6709.0,4.0,1.0,0.0,9.0,0.0,1.0,0.0,17.0
SRR5947850,D006262,4.1,0.0,0.0,668.0,8869.0,0.0,10.0,0.0,9699.0,3.0,0.0,0.0,193.0,0.0,0.0,2.0,15.0
SRR5947851,D003424,4.1,0.0,0.0,13.0,7297.0,0.0,0.0,0.0,3901.0,0.0,0.0,1.0,263.0,1.0,1.0,0.0,8.0
SRR5947852,D003424,4.1,0.0,0.0,29.0,10993.0,1.0,19.0,0.0,3043.0,3.0,20.0,0.0,111.0,1.0,2.0,1.0,26.0
SRR5947853,D003424,4.1,0.0,0.0,47.0,11481.0,0.0,2.0,0.0,1708.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,9.0
SRR5947854,D003424,4.1,0.0,2.0,32.0,9085.0,2.0,11.0,0.0,1837.0,1.0,0.0,0.0,1786.0,0.0,0.0,0.0,2.0
SRR5947855,D003424,4.1,5.0,1.0,153.0,27958.0,3.0,3.0,0.0,5281.0,0.0,26.0,0.0,741.0,1.0,2.0,2144.0,24.0
SRR5947856,D003424,4.1,0.0,0.0,22.0,740.0,0.0,0.0,0.0,788.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,4.0
SRR5947857,D003093,4.1,18.0,0.0,150.0,8844.0,0.0,4.0,0.0,6923.0,0.0,0.0,0.0,937.0,2.0,1.0,0.0,174.0
SRR5947858,D003424,4.1,0.0,0.0,217.0,10576.0,7.0,4.0,0.0,3309.0,5.0,0.0,0.0,298.0,0.0,0.0,0.0,4.0
SRR5947859,D003424,4.1,0.0,5.0,118.0,8155.0,1.0,4.0,0.0,5311.0,15.0,0.0,0.0,1760.0,0.0,0.0,0.0,3.0
SRR5947860,D003093,4.1,0.0,0.0,271.0,7053.0,1.0,10.0,0.0,7113.0,1.0,0.0,0.0,146.0,0.0,0.0,1.0,26.0
SRR5947861,D003093,4.1,0.0,0.0,6.0,661.0,0.0,0.0,0.0,295.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0
SRR5947862,D003424,4.1,0.0,1.0,170.0,8945.0,4.0,4.0,0.0,6221.0,4.0,1.0,0.0,1546.0,2.0,0.0,2688.0,22.0
SRR5947863,D003424,4.1,0.0,0.0,32.0,10131.0,0.0,0.0,0.0,1331.0,4.0,0.0,0.0,257.0,0.0,0.0,0.0,9.0
SRR5947864,D006262,4.1,0.0,1.0,259.0,3213.0,0.0,4.0,0.0,7206.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,37.0
SRR5947865,D003424,4.1,0.0,0.0,580.0,7473.0,2.0,7.0,0.0,19946.0,4.0,0.0,0.0,123.0,3.0,89.0,4.0,54.0
SRR5947866,D003093,4.1,0.0,0.0,71.0,10391.0,1.0,0.0,0.0,4457.0,1.0,0.0,0.0,2042.0,0.0,0.0,2.0,9.0
SRR5947867,D003093,4.1,0.0,1.0,93.0,5696.0,1.0,6.0,0.0,3544.0,1.0,0.0,0.0,521.0,0.0,0.0,0.0,1993.0
SRR5947868,D003424,4.1,0.0,0.0,67.0,9477.0,0.0,3.0,1.0,3571.0,13.0,1.0,0.0,1259.0,2.0,1.0,2.0,4.0
SRR5947869,D003093,4.1,0.0,1.0,128.0,11802.0,2.0,3.0,1.0,8060.0,1.0,0.0,0.0,973.0,1.0,0.0,1.0,13.0
SRR5947870,D003424,4.1,0.0,0.0,246.0,6426.0,0.0,7.0,0.0,5722.0,3.0,0.0,0.0,125.0,0.0,0.0,1.0,15.0
SRR5947871,D006262,4.1,0.0,0.0,692.0,8383.0,5.0,11.0,0.0,10681.0,1.0,0.0,0.0,491.0,1.0,0.0,0.0,28.0
SRR5947872,D006262,4.1,0.0,0.0,305.0,4536.0,0.0,0.0,0.0,5209.0,2.0,0.0,0.0,217.0,1.0,0.0,0.0,42.0
SRR5947873,D003424,4.1,0.0,4.0,52.0,10755.0,0.0,39.0,0.0,2989.0,1.0,21.0,0.0,353.0,1.0,0.0,0.0,272.0
SRR5947874,D003424,4.1,2.0,1.0,238.0,2854.0,1.0,3.0,0.0,12996.0,2.0,0.0,0.0,397.0,1.0,0.0,0.0,15.0
SRR5947875,D003424,4.1,0.0,0.0,10.0,3997.0,0.0,0.0,0.0,1101.0,340.0,0.0,0.0,726.0,0.0,0.0,0.0,3.0
SRR5947876,D003424,4.1,0.0,0.0,31.0,5487.0,0.0,2.0,0.0,3154.0,101.0,1.0,0.0,267.0,2.0,0.0,1.0,96.0
SRR5947877,D003424,4.1,0.0,2.0,224.0,7420.0,0.0,3.0,0.0,3795.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,8.0
SRR5947878,D003093,4.1,0.0,0.0,201.0,4059.0,2.0,0.0,1.0,7180.0,1.0,0.0,1.0,1554.0,0.0,2.0,0.0,1084.0
SRR5947879,D006262,4.1,0.0,2.0,146.0,3064.0,0.0,0.0,0.0,3591.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,583.0
SRR5947880,D003093,4.1,0.0,10.0,210.0,14830.0,3.0,11.0,0.0,12422.0,1.0,1.0,0.0,3335.0,2.0,0.0,0.0,41.0
SRR5947881,D003093,4.1,0.0,0.0,9.0,1484.0,0.0,1.0,0.0,913.0,4.0,0.0,0.0,16.0,0.0,0.0,1.0,5.0
SRR5947882,D003093,4.1,0.0,3.0,87.0,11658.0,2.0,0.0,0.0,3843.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,387.0
SRR5947883,D003424,4.1,0.0,1.0,11.0,7651.0,0.0,9.0,0.0,982.0,0.0,0.0,0.0,1225.0,1.0,0.0,0.0,1.0
SRR5947884,D003093,4.1,0.0,5.0,194.0,13459.0,0.0,8.0,0.0,9349.0,3.0,0.0,0.0,960.0,1.0,1.0,0.0,16.0
SRR5947895,D006262,4.1,0.0,0.0,0.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
SRR5947896,D003093,4.1,0.0,0.0,0.0,24.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR5947899,D003424,4.1,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR5947900,D003424,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR5947901,D003424,4.1,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
