sample,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,batch,tissue
AaF4,0,0,0,0,0.536,0,0.12,0,0.11800000000000001,0,0,0,0,0,0,0,0.07,0,0,0,0.03,0,0.127,0,1,Ectosome
AaF5,0,0,0,0.055999999999999994,0,0.264,0.188,0,0.161,0.087,0.046,0,0,0,0,0.077,0.073,0,0,0,0.009000000000000001,0,0.038,0,1,Choanosome
AaF6,0,0.047,0,0,0.456,0,0.07,0,0.184,0,0,0,0,0,0.027999999999999997,0.032,0.015,0,0,0,0.017,0,0.151,0,1,Ectosome
AaF7,0,0,0,0.071,0,0.21,0.16699999999999998,0,0.16,0.08,0.059000000000000004,0,0,0.071,0,0.069,0.073,0,0,0,0.019,0,0.021,0,1,Choanosome
AaF8,0,0.012,0,0.106,0.285,0,0.121,0,0.11699999999999999,0.07200000000000001,0.051,0.06,0,0.064,0,0.047,0.047,0,0,0,0,0,0.019,0,1,Ectosome
AaF9,0,0,0,0.077,0,0.20199999999999999,0.141,0,0.145,0.065,0.062,0.065,0,0.068,0,0.08,0.073,0,0,0,0,0,0.023,0,1,Choanosome
AaF10,0,0.006999999999999999,0,0.055,0.314,0,0.128,0,0.129,0.067,0.055,0.071,0,0.062,0,0.05,0.025,0,0,0,0.013000000000000001,0,0.023,0,1,Ectosome
AaF11,0,0,0,0.09,0,0.221,0.14300000000000002,0,0.149,0.07400000000000001,0.068,0.07400000000000001,0,0.075,0,0.053,0.03,0,0,0,0.009000000000000001,0,0.013000000000000001,0,1,Choanosome
AaF12,0,0.052000000000000005,0,0.096,0.29600000000000004,0,0.138,0,0.135,0.063,0,0,0,0.075,0,0.065,0.033,0,0.013000000000000001,0,0.011000000000000001,0,0.024,0,1,Ectosome
AaF13,0,0,0,0.065,0,0.19399999999999998,0.20199999999999999,0,0.111,0.07200000000000001,0,0.034,0,0.08,0,0.092,0.095,0,0.008,0,0.021,0,0.027000000000000003,0,1,Choanosome
AaF14,0,0.012,0,0,0.315,0,0.102,0.106,0.107,0.07200000000000001,0,0,0,0.079,0,0.062,0.073,0,0,0,0.025,0,0.048,0,1,Ectosome
AaF15,0,0,0,0,0,0.23,0.331,0,0.201,0.057999999999999996,0,0,0,0.068,0,0.015,0.032,0,0.016,0,0.023,0,0.026000000000000002,0,1,Choanosome
AaF16,0,0,0,0,0.52,0,0.11199999999999999,0,0.138,0.035,0,0,0,0.024,0,0.013999999999999999,0.055999999999999994,0,0,0,0.01,0,0.092,0,1,Ectosome
AaF17,0,0,0,0,0,0.23399999999999999,0.256,0,0.145,0.07400000000000001,0,0,0,0.059000000000000004,0,0.023,0.113,0,0.013000000000000001,0,0.042,0,0.042,0,1,Choanosome
AaF18,0,0.10099999999999999,0,0,0.195,0,0,0.32899999999999996,0.175,0.054000000000000006,0,0,0,0.055,0.004,0.016,0.019,0,0.006,0,0,0,0.046,0,1,Ectosome
AaF19,0,0,0,0,0,0.195,0.26,0,0.171,0.075,0,0,0,0.03,0,0.047,0.05,0,0.012,0,0.061,0,0.09699999999999999,0,1,Choanosome
AaF20,0.106,0.081,0,0,0.606,0,0.08199999999999999,0,0.084,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,2,Ectosome
AaF21,0,0,0,0,0,0.20600000000000002,0.174,0,0.091,0.135,0,0.047,0.045,0.048,0,0.03,0,0.05,0.018000000000000002,0,0,0,0.011000000000000001,0.14400000000000002,2,Choanosome
AaF22,0,0.047,0,0,0.6859999999999999,0,0.06,0,0.042,0.099,0,0.021,0,0,0,0,0,0,0,0,0.022000000000000002,0.022000000000000002,0,0,2,Ectosome
AaF23,0,0,0,0,0,0.215,0.222,0,0.1,0.121,0,0.066,0,0.043,0,0.035,0.023,0.03,0,0,0,0,0.02,0.125,2,Choanosome
AaF24,0,0.221,0,0,0.574,0,0,0,0.139,0,0,0.009000000000000001,0,0.009000000000000001,0,0.006999999999999999,0.008,0.013000000000000001,0,0,0,0,0.02,0,2,Ectosome
AaF25,0,0,0,0,0,0.153,0.114,0,0.051,0.12,0.027999999999999997,0.132,0,0.038,0,0.047,0.055,0.069,0,0,0,0,0.04,0.152,2,Choanosome
